x y z strike dip rake shear normal coulomb
(km) (km) (km) (deg) (deg) (deg) (bar) (bar) (bar)
  -80.0000   30.0000  -10.0000   30.0  90.0   180.0    0.0309    0.0187    0.0384
  -80.0000   35.0000  -10.0000   30.0  90.0   180.0    0.0334    0.0104    0.0376
  -80.0000   40.0000  -10.0000   30.0  90.0   180.0    0.0343    0.0020    0.0351
  -80.0000   45.0000  -10.0000   30.0  90.0   180.0    0.0338   -0.0061    0.0313
  -80.0000   50.0000  -10.0000   30.0  90.0   180.0    0.0320   -0.0135    0.0266
  -80.0000   55.0000  -10.0000   30.0  90.0   180.0    0.0293   -0.0200    0.0213
  -80.0000   60.0000  -10.0000   30.0  90.0   180.0    0.0259   -0.0255    0.0158
  -80.0000   65.0000  -10.0000   30.0  90.0   180.0    0.0223   -0.0299    0.0103
  -80.0000   70.0000  -10.0000   30.0  90.0   180.0    0.0184   -0.0332    0.0052
  -80.0000   75.0000  -10.0000   30.0  90.0   180.0    0.0146   -0.0355    0.0004
  -80.0000   80.0000  -10.0000   30.0  90.0   180.0    0.0110   -0.0370   -0.0038
  -80.0000   85.0000  -10.0000   30.0  90.0   180.0    0.0077   -0.0378   -0.0074
  -80.0000   90.0000  -10.0000   30.0  90.0   180.0    0.0047   -0.0379   -0.0105
  -80.0000   95.0000  -10.0000   30.0  90.0   180.0    0.0020   -0.0376   -0.0130
  -80.0000  100.0000  -10.0000   30.0  90.0   180.0   -0.0003   -0.0368   -0.0151
  -75.0000 -100.0000  -10.0000   30.0  90.0   180.0    0.0218   -0.0008    0.0214
  -75.0000  -95.0000  -10.0000   30.0  90.0   180.0    0.0233   -0.0022    0.0224
  -75.0000  -90.0000  -10.0000   30.0  90.0   180.0    0.0247   -0.0039    0.0232
  -75.0000  -85.0000  -10.0000   30.0  90.0   180.0    0.0258   -0.0059    0.0235
  -75.0000  -80.0000  -10.0000   30.0  90.0   180.0    0.0266   -0.0081    0.0233
  -75.0000  -75.0000  -10.0000   30.0  90.0   180.0    0.0267   -0.0106    0.0225
